<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
,,251215,0,29.25,30.24,29.16,29.56,8.60M
,,251212,0,29.35,30.9,29.11,29.53,12.51M
,,251211,0,30.3,30.85,29.46,29.48,7.34M
,,251210,0,31.37,31.55,29.88,30.02,8.40M
,,251209,0,31.25,31.3,30.77,31.24,4.24M
,,251208,0,30.64,31.52,30.64,31.08,5.62M
,,251205,0,30.95,31.18,30.66,30.72,5.05M
,,251204,0,31.22,31.63,31.02,31.09,4.98M
,,251203,0,31.92,32.02,31.3,31.42,5.38M
,,251202,0,31.75,32.05,31.5,31.7,4.37M
,,251201,0,32.87,32.87,31.6,32.06,8.18M
,,251128,0,32.66,32.67,32.07,32.1,4.38M
,,251126,0,33.3,33.43,32.58,32.77,7.12M
,,251125,0,34.69,35.99,33.6,33.68,9.89M
,,251124,0,36.79,36.87,34.58,34.78,10.01M
,,251121,0,38.36,40.52,36.9,37.32,23.54M
,,251120,0,34.33,39.71,34.09,39.48,32.81M
,,251119,0,37.56,38.01,35.87,36.83,11.10M
,,251118,0,37.4,38.63,36.33,37.53,17.19M
,,251117,0,35.2,36.9,34.29,36.35,10.11M
,,251114,0,36.21,36.78,33.96,34.57,13.79M
,,251113,0,33.36,35.76,33.03,35.22,12.79M
,,251112,0,32.5,33.33,32.5,32.91,5.00M
,,251111,0,32.9,32.98,32.58,32.78,3.93M
,,251110,0,33.42,33.58,32.77,32.85,7.64M
,,251107,0,35.99,37.07,34.7,34.81,12.33M
,,251106,0,33.87,35.51,33.69,34.99,10.24M
,,251105,0,34.89,35.04,33.19,33.66,6.23M
,,251104,0,34.85,35.31,34.08,34.89,8.22M
,,251103,0,33.57,34.71,33.44,33.68,4.86M
,,251031,0,33.08,34.68,33.03,34.0,6.45M
,,251030,0,33.12,33.9,32.76,33.83,6.68M
,,251029,0,32.68,33.59,32.29,33.57,7.33M
,,251028,0,31.97,32.99,31.97,32.93,4.98M
,,251027,0,32.03,32.41,31.84,32.0,7.53M
,,251024,0,32.67,33.26,32.57,33.08,5.96M
,,251023,0,34.37,34.56,33.42,33.47,5.25M
,,251022,0,33.9,36.03,33.73,34.25,13.32M
,,251021,0,34.3,34.86,33.46,33.72,7.99M
,,251020,0,35.81,35.83,33.91,33.99,11.36M
,,251017,0,39.22,40.83,36.77,36.95,19.70M
,,251016,0,36.22,40.24,36.08,39.97,26.36M
,,251015,0,35.27,37.47,35.01,36.58,10.75M
,,251014,0,36.59,37.81,34.98,36.15,13.62M
,,251013,0,35.36,35.69,34.41,34.62,11.01M
,,251010,0,33.25,37.87,33.01,37.47,43.85M
,,251009,0,33.0,33.81,32.95,33.23,6.32M
,,251008,0,33.61,33.81,33.1,33.24,4.67M
,,251007,0,33.0,34.03,32.86,33.77,6.92M
,,251006,0,33.09,33.52,32.99,33.05,4.57M
,,251003,0,33.2,33.71,33.08,33.25,7.33M
,,251002,0,32.8,33.49,32.78,33.44,5.37M
,,251001,0,33.44,33.49,32.86,32.97,5.66M
,,250930,0,33.5,33.62,33.02,33.16,5.09M
,,250929,0,32.72,33.52,32.68,33.27,5.36M
,,250926,0,33.92,34.44,32.84,32.84,6.55M
,,250925,0,34.51,34.87,33.5,34.3,8.93M
,,250924,0,33.99,34.83,33.78,33.86,5.55M
,,250923,0,33.68,34.76,33.68,34.2,7.65M
,,250922,0,33.5,33.81,33.21,33.8,4.45M
,,250919,0,32.88,33.69,32.88,33.18,4.54M
,,250918,0,32.68,33.31,32.63,33.17,5.04M
,,250917,0,34.25,34.28,32.79,33.32,10.69M
,,250916,0,34.02,34.6,33.97,34.53,6.23M
,,250915,0,33.28,34.03,33.25,33.91,6.39M
,,250912,0,33.66,33.76,33.25,33.68,4.62M
,,250911,0,33.9,34.11,33.64,33.68,6.01M
,,250910,0,34.22,34.76,34.08,34.44,5.96M
,,250909,0,34.96,35.42,34.6,34.64,5.13M
,,250908,0,35.1,35.2,34.72,34.81,4.25M
,,250905,0,34.56,36.49,34.5,35.47,13.42M
,,250904,0,36.24,36.33,35.33,35.38,8.66M
,,250903,0,37.17,37.26,36.44,36.46,6.68M
,,250902,0,38.21,38.94,37.35,37.39,10.11M
,,250829,0,35.46,36.6,35.28,36.27,6.04M
,,250828,0,35.52,36.04,35.37,35.45,3.86M
,,250827,0,36.0,36.49,35.6,36.01,5.32M
,,250826,0,36.37,36.43,35.82,35.86,3.03M
,,250825,0,36.38,36.62,35.85,36.14,4.39M
,,250822,0,39.03,39.09,35.97,35.98,17.18M
,,250821,0,39.14,39.81,38.83,39.27,5.17M
,,250820,0,38.89,40.08,38.49,38.67,8.38M
,,250819,0,37.67,39.03,37.64,38.82,7.86M
,,250818,0,38.97,38.99,37.89,38.1,5.75M
,,250815,0,38.91,39.36,38.78,39.04,6.86M
,,250814,0,39.79,39.85,38.94,39.18,5.26M
,,250813,0,38.73,39.31,38.65,39.02,4.95M
,,250812,0,40.22,40.3,39.2,39.3,9.67M
,,250811,0,40.67,41.23,40.36,41.0,4.45M
,,250808,0,41.56,41.68,40.75,40.81,5.89M
,,250807,0,41.36,42.9,41.2,42.21,4.72M
,,250806,0,43.15,43.47,41.88,41.93,4.31M
,,250805,0,42.64,44.53,42.64,43.25,5.20M
,,250804,0,44.63,44.74,42.85,42.92,6.24M
,,250801,0,44.53,46.97,44.49,45.91,17.80M
,,250731,0,41.39,42.78,41.11,42.46,7.02M
,,250730,0,41.94,43.0,41.55,42.39,5.53M
,,250729,0,40.69,42.35,40.46,42.1,5.37M
,,250728,0,41.45,41.74,41.14,41.15,4.81M
,,250725,0,42.81,42.85,42.22,42.33,3.47M
,,250724,0,42.51,42.81,42.16,42.68,3.72M
,,250723,0,43.98,44.35,42.7,42.81,6.67M
,,250722,0,44.59,45.77,44.41,44.65,3.73M
,,250721,0,44.64,44.86,43.89,44.86,5.08M
,,250718,0,45.24,45.64,45.01,45.01,4.89M
,,250717,0,45.65,45.96,45.43,45.85,2.80M
,,250716,0,45.48,48.1,45.22,45.91,8.59M
,,250715,0,44.91,45.67,44.83,45.61,4.75M
,,250714,0,45.67,45.95,45.36,45.87,4.00M
,,250711,0,45.89,46.02,44.69,45.2,3.46M
,,250710,0,45.09,45.39,44.77,44.95,3.18M
,,250709,0,45.74,46.19,45.23,45.26,4.53M
,,250708,0,47.13,47.31,46.55,46.85,3.86M
,,250707,0,48.08,48.97,47.82,48.14,4.53M
,,250703,0,47.06,47.63,46.81,47.57,2.67M
,,250702,0,48.07,48.26,47.44,47.91,3.40M
,,250701,0,48.34,48.4,47.53,48.04,3.42M
,,250630,0,47.74,48.45,47.61,48.05,3.30M
,,250627,0,47.88,49.29,47.84,48.27,3.87M
,,250626,0,48.5,48.5,47.98,48.41,2.98M
,,250625,0,48.6,49.36,48.48,48.52,3.23M
,,250624,0,50.03,50.09,49.09,49.15,4.74M
,,250623,0,53.31,55.57,52.61,52.79,6.67M
,,250620,0,52.39,54.24,52.07,53.46,5.59M
,,250618,0,54.24,54.86,51.87,52.9,6.30M
,,250617,0,52.28,55.22,51.94,54.22,7.64M
